28,001vQLpv3Jz89v,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000001vQLpv3Jz89v.jpg?max_age=2592000,一些悲伤又美好的事,1082830,2021-06-16,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,001vQLpv3Jz89v
29,001kHYtF4RYbJx,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000001kHYtF4RYbJx.jpg?max_age=2592000,洄 (By Now),514058,2021-06-16,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,001kHYtF4RYbJx
30,001sGZVZ0TMyAa,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000001sGZVZ0TMyAa.jpg?max_age=2592000,那女孩对我说 (Live),1260871,2019-09-07,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,001sGZVZ0TMyAa
31,004fBjon1ZmjRC,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000004fBjon1ZmjRC.jpg?max_age=2592000,HOME (归),711480,2021-06-16,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,004fBjon1ZmjRC
32,001GWGbx449ICZ,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000001GWGbx449ICZ.jpg?max_age=2592000,吆不到台 (Live),488307,2019-09-07,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,001GWGbx449ICZ
33,0002vIf924VdaM,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M0000002vIf924VdaM.jpg?max_age=2592000,希望你听懂的歌能越少越好,685244,2021-06-16,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,0002vIf924VdaM
34,0003nlPt0TsniX,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M0000003nlPt0TsniX.jpg?max_age=2592000,骄傲 (Live),473318,2020-11-19,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,0003nlPt0TsniX
35,004BbAqP4TeE5T,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000004BbAqP4TeE5T.jpg?max_age=2592000,在未来,278918,2021-11-20,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,004BbAqP4TeE5T
36,003esG9F4c0tjV,王源,https://y.gtimg.cn/music/photo_new/T001R300x300M000003esG9F4c0tjV.jpg?max_age=2592000,花瓣,1529730,2020-07-16,https://y.gtimg.cn/music/photo_new/T001R300x300M000000IBYF50SRnXP.jpg?max_age=2592000,003esG9F4c0tjV
37,003B7uBk0LfzGI,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000003B7uBk0LfzGI.jpg?max_age=2592000,大城小爱 (Live),3004627,2020-01-13,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,003B7uBk0LfzGI
38,002pRKXI3VxUrl,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000002pRKXI3VxUrl.jpg?max_age=2592000,四字歌,941041,2021-11-28,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,002pRKXI3VxUrl
39,002ImLyF0DWmx9,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000002ImLyF0DWmx9.jpg?max_age=2592000,一起向未来,424332,2021-09-21,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,002ImLyF0DWmx9
40,004Fpnhh2f7U12,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000004Fpnhh2f7U12.jpg?max_age=2592000,爱情鸟,1237801,2020-11-27,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,004Fpnhh2f7U12
41,003O1P6B2NQVF0,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000003O1P6B2NQVF0.jpg?max_age=2592000,粉雾海,5020147,2020-08-13,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,003O1P6B2NQVF0
42,001apXAh2mHRub,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000001apXAh2mHRub.jpg?max_age=2592000,精彩才刚刚开始,2091971,2018-10-15,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,001apXAh2mHRub
43,002vqQZD2XF79L,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000002vqQZD2XF79L.jpg?max_age=2592000,My Boo,3072842,2020-08-18,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,002vqQZD2XF79L
44,001JaAKW4IurRk,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000001JaAKW4IurRk.jpg?max_age=2592000,离骚,3931082,2017-04-21,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,001JaAKW4IurRk
45,002dDpdt4GsouU,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000002dDpdt4GsouU.jpg?max_age=2592000,Can You Feel My World (Live),712162,2020-01-13,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,002dDpdt4GsouU
46,00231NP41zL4Jd,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M00000231NP41zL4Jd.jpg?max_age=2592000,Nothing to Lose,2080558,2017-11-23,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,00231NP41zL4Jd
47,00481seV3tuzWU,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M00000481seV3tuzWU.jpg?max_age=2592000,你说,2331293,2017-12-15,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,00481seV3tuzWU
48,001FfdDc0DE6DJ,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000001FfdDc0DE6DJ.jpg?max_age=2592000,宝贝,1558874,2014-12-12,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,001FfdDc0DE6DJ
49,003CcntB4WKpYv,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000003CcntB4WKpYv.jpg?max_age=2592000,Unpredictable,1780152,2017-11-28,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,003CcntB4WKpYv
50,000luFXk2aW5D8,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000000luFXk2aW5D8.jpg?max_age=2592000,找到你是我最伟大的成功 (Live),805709,2020-01-13,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,000luFXk2aW5D8
51,002qayVx1bMMn2,易烊千玺,https://y.gtimg.cn/music/photo_new/T001R300x300M000002qayVx1bMMn2.jpg?max_age=2592000,念想,1564521,2019-11-01,https://y.gtimg.cn/music/photo_new/T001R300x300M000001IoTZp19YMDG.jpg?max_age=2592000,002qayVx1bMMn2
