alpha_2,region,,flag,大洲:,origin name,Let's Go,,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
PA,巴拿马,其他,https://www.fluentpython.com/data/flags/pa/pa.gif,北美,PA,0,0,40754388,81508776,81508776,81508776,122263164,163017552,244526328,326035104,570561432,652070208,733578984,815087760,937350924,1100368476,1222631640,1385649192,1589421132,1711684296,1833947460,1956210624,2200736952,2445263280,2730543996,2934315936,3138087876,3382614204,3586386144,3790158084,4075438800,4319965128,4564491456,4849772172,5298070440,5583351156,6072403812,6439193304,6805982796,7172772288,7417298616,7865596884,8354649540,8802947808,9210491688,9577281180,10025579448,10840667208,11574246192,12348579564,13082158548,14223281412,15038369172,15731193768,16709299080,17728158780,18502492152,19521351852,20947755432,22129632684,23841316980,25389983724,27427703124,29057878644,30688054164,32644264788,34845001740,36638194812,38227615944,40509861672,42710598624,44829826800,46867546200,49353563868,51554300820,53795792160,55588985232,57952739736,59786687196,61946669760,63576845280,65329283964,66714933156,68059827960,70138301748,72013003596,74091477384,76332968724,78248424960,80326898748,82323863760,84565355100,86562320112,89089092168,91615864224,94346408220,97076952216,99644478660,102171250716,104331233280,107224794828,109955338824,113134181088,117209619888,119899409496,122507690328,125564269428,128050287096,130943848644,134448726012,137505305112,140358112272,143373936984
TN,突尼斯,其他,https://www.fluentpython.com/data/flags/tn/tn.gif,非洲,TN,0,0,203771940,407543880,611315820,855842148,1141122864,1467157968,1793193072,1996965012,2404508892,2771298384,3097333488,3423368592,3749403696,4116193188,4401473904,4768263396,5135052888,5501842380,5909386260,6276175752,6724474020,7132017900,7458053004,7824842496,8191631988,8395403928,8721439032,9128982912,9577281180,10270105776,10840667208,11411228640,11981790072,12348579564,12959895384,13530456816,14141772636,14753088456,15282895500,15894211320,16709299080,17483632452,18257965824,19032299196,19765878180,20621720328,21396053700,22048123908,22659439728,23433773100,24085843308,24737913516,25389983724,26205071484,27060913632,27916755780,28935615480,29750703240,30484282224,31666159476,32644264788,33622370100,34681984188,35660089500,36841966752,38186861556,39654019524,41324949432,42669844236,44096247816,45359633844,47071318140,48701493660,50820721836,52817686848,54447862368,56200301052,58278774840,60357248628,62680248744,64554950592,66755687544,68385863064,70464336852,72339038700,74336003712,76577495052,79471056600,82486881312,86562320112,90189460644,94142636280,97769776812,101315408568,104698022772,107958373812,111014952912,113867760072,116802076008,119328848064,121937128896,124586164116,128050287096,130903094256,133389111924,135019287444,136690217352,138442656036,139828305228,141050936868,142884884328
VN,越南,其他,https://www.fluentpython.com/data/flags/vn/vn.gif,亚洲,VN,0,0,40754388,40754388,40754388,81508776,122263164,163017552,203771940,244526328,285280716,326035104,366789492,407543880,448298268,489052656,529807044,570561432,611315820,692824596,733578984,815087760,896596536,978105312,1100368476,1263386028,1426403580,1630175520,1793193072,1956210624,2241491340,2608280832,3097333488,3586386144,4034684412,4401473904,4809017784,5420333604,6194666976,6969000348,7539561780,8069368824,8965965360,9862561896,10759158432,11615000580,12389333952,13367439264,14264035800,15323649888,16668544692,18787772868,20499457164,22170387072,24208106472,26123562708,28161282108,30117492732,32725773564,34967264904,37249510632,40061563404,42792107400,45604160172,48049423452,50657704284,54244090428,57667459020,61376108328,65451547128,69363968376,72746582580,75843916068,78818986392,81916319880,84809881428,87092127156,90515495748,93368302908,96384127620,98910899676,101030127852,102619548984,103882935012,105064812264,106328198292,107795356260,109751566884,111504005568,113582479356,114968128548,116313023352,117535654992,119206584900,120469970928,121448076240,122426181552,123322778088,124097111460,125115971160,125971813308,126827655456,128213304648,129476690676,130862339868,132288743448,133715147028,135100796220,136445691024,137912848992,139094726244,140032077168,141132445644
BY,白俄罗斯,其他,https://www.fluentpython.com/data/flags/by/by.gif,欧洲,BY,0,0,40754388,81508776,122263164,163017552,203771940,203771940,244526328,285280716,366789492,407543880,448298268,489052656,529807044,611315820,692824596,815087760,896596536,1018859700,1100368476,1263386028,1344894804,1467157968,1548666744,1630175520,1752438684,1874701848,1996965012,2119228176,2363754504,2567526444,2852807160,3178842264,3464122980,3708649308,3993930024,4319965128,4646000232,5053544112,5542596768,5990895036,6683719632,7376544228,7947105660,8721439032,9169737300,9903316284,10555386492,11329719864,12022544460,13122912936,14060263860,15038369172,16138737648,17239106124,18584000928,19928895732,21396053700,22822457280,24371124024,26082808320,27876001392,29383913748,31136352432,32888791116,35171036844,37494036960,39613265136,42506826684,44870581188,47234335692,49475827032,52124862252,55262950128,58278774840,61172336388,64921740084,68304354288,72094512372,75884670456,79960109256,82609144476,85176670920,87907214916,90515495748,93246039744,96343373232,99114671616,101519180508,103964443788,106328198292,108488180856,111177970464,112930409148,114601339056,116435286516,118187725200,119736391944,121122041136,122711462268,124178620236,126216339636,128091041484,129843480168,131310638136,132614778552,134000427744,135508340100,136934743680,138279638484,139787550840,140969428092
GE,格鲁吉亚,其他,https://www.fluentpython.com/data/flags/ge/ge.gif,亚洲,GE,0,0,40754388,40754388,40754388,81508776,81508776,122263164,122263164,163017552,203771940,244526328,285280716,285280716,285280716,326035104,366789492,407543880,448298268,448298268,529807044,652070208,692824596,774333372,896596536,978105312,1100368476,1222631640,1385649192,1467157968,1589421132,1711684296,1833947460,1996965012,2241491340,2404508892,2608280832,2771298384,2934315936,3056579100,3178842264,3504877368,3912421248,4238456352,4605245844,5012789724,5420333604,6113158200,6642965244,7213526676,7947105660,8843702196,9618035568,10392368940,11248211088,12144807624,12959895384,13815737532,14834597232,15690439380,16750053468,17891176332,19358334300,20703229104,22048123908,23922825756,25634510052,27631475064,29587685688,32358984072,34355949084,36230650932,38268370332,40672879224,43484931996,46133967216,49109037540,52043353476,54814651860,57748967796,60601774956,63006283848,65247775188,67000213872,68834161332,71075652672,73439407176,75803161680,78492951288,81101232120,83994793668,88070232468,90841530852,93898109952,96669408336,99155426004,102089741940,104820285936,107469321156,109914584436,112482110880,114764356608,117494900604,119940163884,122018637672,124178620236,126216339636,127968778320,130006497720,132329497836,134734006728,136649462964,138646427976
TM,土库曼斯坦,其他,https://www.fluentpython.com/data/flags/tm/tm.gif,亚洲,TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81508776,81508776,244526328,244526328,326035104,326035104,326035104,489052656,489052656,570561432,570561432,652070208,652070208,652070208,774333372,896596536,937350924,978105312,1141122864,1141122864,1181877252,1181877252,1304140416,1426403580,1670929908,1793193072,1915456236,2078473788,2323000116,2689789608,2893561548,3219596652,3341859816,3545631756,3708649308,3912421248,4197701964,4809017784,5175807276,5501842380,6194666976,6724474020,7376544228,7906351272,8599175868,9495772404,10351614552,11207456700,11900281296,12674614668,13978755084,14834597232,16016474484,16872316632,18013439496,19399088688,21110772984,22781702892,24330369636,25512246888,27305439960,28813352316,30769562940,32236720908,34070668368,36760457976,39817037076,42792107400,45155861904,47804897124,49842616524,52328634192,54814651860,57626704632,59949704748,62109687312,65166266412,67978319184,70871880732,73928459832,76740512604,80123126808,83791021728,86888355216,89659653600,92227180044,95324513532,98258829468,101600689284,105472356144,109262514228,113337953028,117128111112,120836760420,123852585132,127235199336,130169515272,133307603148,136527199800
CA,加拿大,其他,https://www.fluentpython.com/data/flags/ca/ca.gif,北美,CA,0,0,40754388,81508776,122263164,163017552,244526328,407543880,611315820,733578984,896596536,1018859700,1181877252,1304140416,1426403580,1630175520,1833947460,1996965012,2159982564,2363754504,2567526444,2893561548,3097333488,3301105428,3545631756,3790158084,4034684412,4279210740,4523737068,4809017784,5216561664,5664859932,6194666976,6683719632,7172772288,7661824944,8273140764,9128982912,9821807508,10433123328,11044439148,11737263744,12837632220,13693474368,14386298964,15079123560,15731193768,16872316632,17850421944,18950790420,19969650120,21314544924,22537176564,23637545040,25267720560,26531106588,27794492616,29017124256,30688054164,32155212132,34396703472,36515931648,38553651048,40346844120,42017774028,43892475876,47152826916,49272055092,51187511328,53388248280,56241055440,58360283616,60234985464,62272704864,63984389160,65899845396,67611529692,70056792972,72461301864,74417512488,76210705560,77922389856,79348793436,80775197016,82160846208,83709512952,85828741128,88396267572,90107951868,91819636164,93409057296,95202250368,96791671500,98829390900,100826355912,102823320924,104616513996,106450461456,107999128200,109466286168,111177970464,112971163536,117046602336,120918269196,122996742984,124708427280,126338602800,127887269544,129639708228,131555164464,133185339984,134734006728,136364182248
QA,卡塔尔,其他,https://www.fluentpython.com/data/flags/qa/qa.gif,亚洲,QA,0,0,40754388,122263164,122263164,203771940,244526328,366789492,448298268,570561432,733578984,815087760,896596536,978105312,1100368476,1263386028,1385649192,1670929908,1793193072,1915456236,2159982564,2363754504,2649035220,2852807160,2975070324,3138087876,3301105428,3464122980,3667894920,3871666860,4116193188,4442228292,4849772172,5175807276,5461087992,6031649424,6439193304,7091263512,7458053004,7865596884,8273140764,8762193420,9414263628,10229351388,10799912820,11329719864,11778018132,12756123444,13530456816,14304790188,15201386724,16342509588,17565141228,18950790420,20377194000,21518316864,22251895848,23066983608,24534141576,25919790768,27346194348,29017124256,30973334880,32440492848,33989159592,35537826336,37697808900,39613265136,40958159940,42629089848,44707563636,46419247932,48212441004,50005634076,51921090312,53551265832,55181441352,57504441468,59419897704,61172336388,62639494356,64310424264,65899845396,67896810408,69567740316,71034898284,72583565028,74458266876,76088442396,77963144244,79634074152,82731407640,85217425308,88151741244,91086057180,93694338012,96221110068,98666373348,100867110300,102986338476,105146321040,107958373812,111055707300,115131146100,118146970812,120347707764,123119006148,124952953608,127072181784,129272918736,131758936404,133470620700,135182304996
GB,英国,其他,https://www.fluentpython.com/data/flags/gb/gb.gif,欧洲,GB,0,0,122263164,203771940,326035104,448298268,529807044,652070208,774333372,896596536,1018859700,1181877252,1304140416,1426403580,1548666744,1752438684,1915456236,2119228176,2323000116,2486017668,2649035220,2893561548,3097333488,3301105428,3545631756,3790158084,4034684412,4279210740,4523737068,4809017784,5175807276,5542596768,5950140648,6357684528,6724474020,7132017900,7621070556,8232386376,8802947808,9332754852,9903316284,10514632104,11370474252,12104053236,12715369056,13285930488,13856491920,14793842844,15649684992,16587035916,17483632452,18747018480,19765878180,20947755432,22211141460,23270755548,24371124024,25471492500,26816387304,28079773332,29669194464,31380878760,33011054280,34518966636,35986124604,37983089616,40917405552,43647949548,45155861904,47152826916,49231300704,53306739504,55222195740,57219160752,58971599436,61253845164,63821371608,66511161216,70138301748,73683933504,75558635352,77555600364,78941249556,80408407524,81957074268,83546495400,85706477964,88396267572,90311723808,92512460760,94387162608,96547145172,98218075080,100500320808,102741812148,104901794712,106898759724,108814215960,110444391480,112033812612,113704742520,115375672428,117494900604,119451111228,121488830628,123159760536,124708427280,126338602800,127928023932,129802725780,131269883748,132777796104,134407971624
MM,缅甸,其他,https://www.fluentpython.com/data/flags/mm/mm.gif,亚洲,MM,0,0,0,0,0,81508776,81508776,122263164,203771940,244526328,366789492,489052656,529807044,611315820,692824596,855842148,1059614088,1344894804,1548666744,1711684296,1874701848,2078473788,2404508892,2771298384,3056579100,3464122980,3830912472,4197701964,4686754620,5053544112,5827877484,7091263512,7743333720,8313895152,8925210972,9332754852,9740298732,10351614552,10881421596,11370474252,12022544460,12715369056,13611965592,14304790188,14834597232,15445913052,16016474484,17035334184,17931930720,18991544808,19969650120,21314544924,22740948504,24248860860,25879036380,27142422408,28283545272,29383913748,30484282224,31706913864,32807282340,34070668368,35211791232,36189896544,37208756244,38675914212,40509861672,41691738924,42710598624,44177756592,45441142620,46949054976,48171686616,49394318256,50576195508,51798827148,52980704400,54936915024,56485581768,57911985348,59053108212,60112722300,61090827612,62313459252,63291564564,64554950592,65818336620,67081722648,68589635004,70505091240,72461301864,75232600248,77351828424,79715582928,82405372536,85217425308,88233250020,91167565956,93612829236,96017338128,99114671616,102660303372,106735742172,110077601988,113174935476,116231514576,119206584900,121774111344,124137865848,126501620352,128498585364,130780831092,133144585596
IQ,伊拉克,其他,https://www.fluentpython.com/data/flags/iq/iq.gif,亚洲,IQ,0,0,0,0,40754388,40754388,40754388,40754388,40754388,40754388,81508776,81508776,122263164,122263164,122263164,163017552,163017552,203771940,244526328,285280716,326035104,407543880,448298268,529807044,570561432,652070208,733578984,815087760,855842148,937350924,1059614088,1181877252,1304140416,1426403580,1548666744,1670929908,1793193072,1915456236,2037719400,2241491340,2445263280,2649035220,2975070324,3260351040,3545631756,3830912472,4156947576,4564491456,4890526560,5216561664,5542596768,6113158200,6642965244,7132017900,7661824944,8395403928,9088228524,9740298732,10514632104,11044439148,11737263744,12389333952,13122912936,13938000696,14671579680,15445913052,16505527140,17687404392,19032299196,20336439612,21722088804,22903966056,24045088920,25308474948,26694124140,28039018944,29343159360,31095598044,32848036728,35089528068,37412528184,39898545852,42303054744,44666809248,46704528648,48497721720,50535441120,52899195624,55670494008,58523301168,61539125880,65614564680,69200950824,73113372072,76944284544,80856705792,84646863876,88029478080,91371337896,94387162608,97729022424,101437671732,105187075428,109017987900,112522865268,115823970696,118921304184,121977883284,124300883400,126501620352,128457830976,130414041600,132044217120
NL,荷兰,其他,https://www.fluentpython.com/data/flags/nl/nl.gif,欧洲,NL,0,0,122263164,244526328,326035104,448298268,570561432,692824596,855842148,1018859700,1141122864,1263386028,1385649192,1507912356,1630175520,1793193072,1956210624,2159982564,2363754504,2567526444,2771298384,3015824712,3260351040,3504877368,3708649308,3953175636,4156947576,4401473904,4646000232,4890526560,5216561664,5542596768,5950140648,6316930140,6683719632,7091263512,7498807392,8110123212,8639930256,9169737300,9699544344,10229351388,11003684760,11655754968,12267070788,12837632220,13408193652,14264035800,15038369172,15934965708,16750053468,17931930720,18910036032,19806632568,21110772984,22292650236,23433773100,24534141576,26082808320,27386948736,28935615480,30891826104,32766527952,34600475412,36230650932,38553651048,41773247700,45196616292,47152826916,49516581420,51921090312,55996529112,58156511676,60398003016,62354213640,64514196204,66511161216,68793406944,70912635120,72991108908,74743547592,76455231888,77840881080,79226530272,80530670688,82038583044,84157811220,86643828888,88681548288,90719267688,92430951984,94224145056,95976583740,98095811916,100418812032,102660303372,104698022772,106817250948,108488180856,110199865152,111911549448,113704742520,115701707532,117494900604,119043567348,120673742868,122222409612,123608058804,125115971160,126827655456,128376322200,129884234556,131432901300
UA,乌克兰,其他,https://www.fluentpython.com/data/flags/ua/ua.gif,欧洲,UA,0,0,0,0,40754388,81508776,122263164,163017552,203771940,244526328,285280716,326035104,366789492,407543880,448298268,529807044,570561432,652070208,733578984,815087760,855842148,937350924,1018859700,1100368476,1181877252,1263386028,1385649192,1507912356,1589421132,1711684296,1833947460,2037719400,2241491340,2404508892,2567526444,2689789608,2852807160,3097333488,3382614204,3627140532,3871666860,4156947576,4605245844,5053544112,5501842380,5868631872,6153912588,6602210856,7009754736,7498807392,8028614436,8762193420,9414263628,10066333836,10799912820,11615000580,12470842728,13367439264,14508562128,15527421828,16627790304,17891176332,19317579912,20703229104,22048123908,23678299428,25716018828,27753738228,29628440076,32399738460,34478212248,36434422872,38390633496,40876651164,43688703936,46460002320,49190546316,52776932460,56200301052,60275739852,63943634772,67611529692,70423582464,73154126460,75640144128,78289179348,81182740896,84280074384,87092127156,89700407988,92023408104,94590934548,96954689052,99481461108,101356162956,103230864804,105024057876,106735742172,108325163304,109710812496,111300233628,113011917924,115008882936,116924339172,118717532244,120388462152,121774111344,123363532476,124871444832,126420111576,127928023932,129435936288,130699322316
SA,沙特阿拉伯,其他,https://www.fluentpython.com/data/flags/sa/sa.gif,亚洲,SA,0,0,0,0,0,0,0,81508776,203771940,285280716,407543880,529807044,611315820,692824596,774333372,937350924,1141122864,1304140416,1507912356,1670929908,1874701848,2159982564,2404508892,2689789608,2893561548,3097333488,3341859816,3504877368,3708649308,3912421248,4360719516,4849772172,5338824828,5787123096,6235421364,6602210856,7009754736,7621070556,8191631988,8680684644,9210491688,9740298732,10596140880,11370474252,12022544460,12674614668,13245176100,14060263860,14956860396,15812702544,16709299080,17972685108,19073053584,20010404508,21110772984,22292650236,23474527488,24615650352,26286580260,27590720676,29017124256,30647299776,32399738460,33907650816,35293300008,36801212364,38635159824,40469107284,42099282804,44137002204,45644914560,47275090080,48864511212,50739213060,52450897356,53999564100,55507476456,57382178304,59216125764,61213090776,63658354056,65859091008,68100582348,72176021148,74050722996,75803161680,77759372304,79797091704,81997828656,83994793668,85951004292,88966829004,91330583508,93775846788,95935829352,98177320692,100418812032,102497285820,104494250832,106124426352,108080636976,109914584436,112156075776,114642093444,116720567232,118554514692,120266198988,122018637672,123771076356,125645778204,127112936172,128335567812,129598953840
OM,阿曼,其他,https://www.fluentpython.com/data/flags/om/om.gif,亚洲,OM,0,0,0,0,0,40754388,40754388,122263164,203771940,285280716,326035104,366789492,448298268,448298268,529807044,652070208,733578984,855842148,978105312,1222631640,1304140416,1507912356,1630175520,1752438684,1793193072,1915456236,2037719400,2119228176,2241491340,2445263280,2649035220,2893561548,3097333488,3219596652,3382614204,3504877368,3749403696,3953175636,4279210740,4523737068,4849772172,5175807276,5787123096,6072403812,6439193304,6805982796,6928245960,7458053004,7987860048,8639930256,9088228524,10147842612,11003684760,11655754968,12633860280,13489702428,14182527024,14834597232,15975720096,16709299080,17565141228,18706264092,19928895732,20947755432,21966615132,23148492384,24656404740,26082808320,27427703124,28976369868,30362019060,31666159476,33174071832,34681984188,36230650932,37697808900,39164966868,41243440656,42832861788,44422282920,46093212828,47927160288,49638844584,51961844700,53958809712,55629739620,57382178304,59582915256,61661389044,63902880384,65859091008,68711898168,71564705328,74825056368,77759372304,80245389972,83016688356,85910249904,88518530736,91167565956,93898109952,96873180276,100500320808,104575759608,108325163304,111340988016,114519830280,117087356724,119695637556,122303918388,124952953608,127316708112,129354427512
TW,中国台湾省,其他,https://www.fluentpython.com/data/flags/tw/tw.gif,亚洲,TW,0,0,40754388,81508776,122263164,163017552,203771940,326035104,448298268,529807044,611315820,692824596,815087760,896596536,978105312,1141122864,1344894804,1548666744,1752438684,1915456236,2078473788,2323000116,2567526444,2771298384,3015824712,3301105428,3586386144,3953175636,4360719516,4646000232,5216561664,5746368708,6398438916,7009754736,7498807392,7906351272,8476912704,9495772404,10555386492,11941035684,12919140996,13938000696,15853456932,17809667556,19399088688,20703229104,21803597580,23719053816,25308474948,26979404856,28935615480,31625405088,33744633264,35700843888,37494036960,39205721256,41161931880,43403423220,45481897008,47804897124,49598090196,51595055208,53592020220,55670494008,57219160752,59012353824,61050073224,63006283848,64962494472,66918705096,68752652556,71197915836,73072617684,75721652904,77637109140,79185775884,80652933852,82731407640,84524600712,86317793784,88029478080,89741162376,91004548404,92227180044,93409057296,94753952100,96139601292,97892039976,99196180392,100459566420,101641443672,102864075312,103964443788,105309338592,106572724620,107876865036,109058742288,110159110764,111055707300,111993058224,112971163536,113949268848,115049637324,119125076124,120551479704,121570339404,122548444716,123363532476,124178620236,125238234324,126012567696,126827655456,127642743216
SY,叙利亚,其他,https://www.fluentpython.com/data/flags/sy/sy.gif,亚洲,SY,0,0,0,0,81508776,122263164,163017552,203771940,203771940,326035104,407543880,448298268,489052656,529807044,570561432,611315820,692824596,733578984,855842148,896596536,937350924,1018859700,1018859700,1141122864,1181877252,1263386028,1385649192,1426403580,1548666744,1630175520,1711684296,1833947460,1996965012,2078473788,2323000116,2363754504,2486017668,2730543996,2893561548,3138087876,3341859816,3586386144,3953175636,4279210740,4482982680,4686754620,4972035336,5298070440,5705614320,5909386260,6357684528,6887491572,7132017900,7621070556,8150877600,9047474136,9536526792,10147842612,10799912820,11248211088,11778018132,12593105892,13204421712,13815737532,14386298964,15201386724,16097983260,16872316632,18013439496,19399088688,20662474716,21640580028,22618685340,23841316980,25308474948,26653369752,27876001392,29628440076,31584650700,33866896428,35741598276,37779317676,39531756360,41977019640,44381528532,47071318140,49394318256,52002599088,54814651860,57911985348,60764792508,64432687428,67693038468,71768477268,74947319532,77637109140,80326898748,83220460296,85665723576,88518530736,90637758912,93164530968,96343373232,100174285704,104168215728,107754601872,110851935360,113827005684,116150005800,118595269080,121122041136,123322778088,125564269428
JP,日本,其他,https://www.fluentpython.com/data/flags/jp/jp.gif,亚洲,JP,0,0,0,0,0,0,0,0,40754388,40754388,81508776,122263164,163017552,203771940,244526328,285280716,366789492,448298268,529807044,611315820,692824596,774333372,855842148,937350924,1059614088,1181877252,1304140416,1467157968,1589421132,1711684296,1874701848,2078473788,2241491340,2445263280,2608280832,2771298384,2975070324,3301105428,3545631756,3790158084,4075438800,4319965128,4686754620,4931280948,5216561664,5501842380,5827877484,6235421364,6642965244,7132017900,7580316168,8150877600,8762193420,9210491688,10066333836,10881421596,11533491804,12144807624,12878386608,13652719980,14427053352,15812702544,17157597348,18584000928,19928895732,21559071252,23189246772,24737913516,26164317096,27998264556,29872966404,31584650700,34926510516,36597440424,38105352780,39491001972,40795142388,42221545968,43525686384,44829826800,46826791812,48375458556,49598090196,50698458672,51880335924,53632774608,55059178188,56485581768,57952739736,59582915256,60927810060,62272704864,63739862832,65533055904,67896810408,70464336852,73031863296,76455231888,79471056600,82364618148,85298934084,88192495632,91371337896,95446776696,99481461108,102864075312,106450461456,110159110764,113215689864,116435286516,118880549796,121325813076,123974848296
AE,阿联酋,其他,https://www.fluentpython.com/data/flags/ae/ae.gif,亚洲,AE,0,0,40754388,81508776,122263164,163017552,203771940,285280716,407543880,489052656,570561432,652070208,692824596,774333372,855842148,978105312,1100368476,1263386028,1385649192,1467157968,1548666744,1711684296,1874701848,2037719400,2241491340,2445263280,2608280832,2771298384,2934315936,3097333488,3382614204,3708649308,4034684412,4319965128,4646000232,4931280948,5338824828,5909386260,6357684528,6805982796,7376544228,7906351272,8721439032,9332754852,9862561896,10433123328,10922175984,11696509356,12593105892,13571211204,14549316516,15771948156,16994579796,18135702660,19317579912,20417948388,21355299312,22333404624,23800562592,25104703008,26571860976,28365054048,29791457628,31217861208,32766527952,34192931532,36189896544,38023844004,39450247584,40998914328,42547581072,44096247816,45685668948,47519616408,49149791928,50779967448,52206371028,54121827264,55996529112,57871230960,59501406480,61050073224,62435722416,64228915488,65655319068,67122477036,68630389392,70260564912,71849986044,73480161564,75232600248,77596354752,79634074152,82038583044,84239319996,86440056948,88681548288,90760022076,92716232700,94468671384,96180355680,98136566304,100704092748,104779531548,107347057992,109425531780,111626268732,113378707416,115253409264,117209619888,119002812960,120755251644,122426181552
ZA,南非,其他,https://www.fluentpython.com/data/flags/za/za.gif,非洲,ZA,0,0,81508776,122263164,203771940,244526328,326035104,407543880,489052656,570561432,611315820,692824596,774333372,815087760,896596536,978105312,1059614088,1181877252,1263386028,1304140416,1385649192,1467157968,1507912356,1670929908,1793193072,1874701848,1996965012,2078473788,2241491340,2363754504,2526772056,2649035220,2852807160,3056579100,3219596652,3341859816,3545631756,3830912472,3993930024,4156947576,4360719516,4605245844,4931280948,5216561664,5542596768,5787123096,6031649424,6479947692,6887491572,7376544228,7784088108,8354649540,8884456584,9414263628,9944070672,10555386492,11248211088,11818772520,12756123444,13489702428,14508562128,16016474484,17239106124,18217211436,19276825524,20417948388,22048123908,23596790652,24860176680,26245825872,27712983840,29261650584,30728808552,32440492848,33744633264,35008019292,36149142156,37738563288,39491001972,41447212596,43118142504,44666809248,46133967216,47519616408,48905265600,50535441120,52084107864,53632774608,55059178188,56933880036,58849336272,60724038120,62843266296,65084757636,67774547244,70545845628,73480161564,76699758216,79104267108,81264249672,83668758564,86277039396,89374372884,92634723924,96343373232,99481461108,102660303372,105513110532,108691952796,112767391596,115579444368,118106216424,120714497256
BW,博兹瓦那,其他,https://www.fluentpython.com/data/flags/bw/bw.gif,非洲,BW,0,0,0,366789492,366789492,1018859700,1344894804,1344894804,1344894804,1344894804,1344894804,1344894804,1344894804,1344894804,1344894804,1344894804,1630175520,2200736952,2200736952,2200736952,2771298384,2771298384,3260351040,3504877368,3504877368,3504877368,3504877368,3504877368,3953175636,3953175636,3953175636,3953175636,4197701964,4197701964,4401473904,4605245844,5053544112,5624105544,6072403812,6479947692,6887491572,7091263512,7702579332,7906351272,8354649540,8721439032,9332754852,9903316284,10922175984,11411228640,12430088340,13489702428,14549316516,15405158664,15608930604,16342509588,17320614900,17728158780,20254930836,20907001044,21355299312,24126597696,25023194232,25471492500,26082808320,26531106588,28324299660,29506176912,30606545388,31788422640,34070668368,35048773680,36515931648,37738563288,39450247584,41650984536,41650984536,44137002204,46296984768,50127897240,51839581536,53388248280,54284844816,56363318604,58482546780,60357248628,62639494356,64473441816,65818336620,67448512140,68956424496,69975284196,70749617568,72542810640,73928459832,75680898516,77066547708,80000863644,83342723460,84932144592,88355513184,91086057180,94183390668,97688268036,99603724272,101478426120,104331233280,107021022888,108610444020,112685882820,114764356608,117209619888,119858655108
LB,黎巴嫩,其他,https://www.fluentpython.com/data/flags/lb/lb.gif,亚洲,LB,0,0,81508776,122263164,163017552,244526328,285280716,366789492,407543880,489052656,570561432,652070208,733578984,815087760,815087760,815087760,896596536,896596536,937350924,1018859700,1100368476,1263386028,1385649192,1426403580,1548666744,1630175520,1670929908,1793193072,1874701848,1996965012,2159982564,2363754504,2404508892,2567526444,2812052772,2893561548,3097333488,3301105428,3586386144,3708649308,3790158084,3953175636,4238456352,4401473904,4646000232,4931280948,5053544112,5257316052,5664859932,5909386260,6276175752,6602210856,6887491572,7172772288,7661824944,8150877600,8680684644,9373509240,10107088224,10555386492,11329719864,12185562012,12756123444,13408193652,14141772636,15242141112,16383263976,17442878064,18502492152,20173422060,21477562476,22414913400,23556036264,24697159128,26164317096,27305439960,28446562824,29832212016,31584650700,33459352548,35415563172,37290265020,38838931764,40469107284,42221545968,43607195160,45481897008,47682633960,49842616524,52247125416,54651634308,57993494124,61131582000,64228915488,67122477036,70097547360,73317144012,76129196784,79511810988,82038583044,85339688472,88355513184,92430951984,96343373232,100174285704,103393882356,106287443904,108854970348,111096461688,113582479356,115497935592,117454146216,119247339288
